val1,val2,val3,last_matrix,num_moves_Q_learning_needs,first_move_by_Q_learning,Q_table_val
1,-3,1,4,6,2,9880.299600299879
0,1,-8,1,10,1,9800.897604194965
0,-3,2,3,6,1,9880.299600299879
1,-2,-3,4,4,2,9920.119920019999
-2,8,-4,4,6,2,9880.299600299879
-2,-9,-2,4,12,0,9761.31560987396
2,-5,-4,4,6,2,9880.299600299879
2,14,4,2,10,0,9800.897604194965
0,8,2,3,10,0,9800.897604194965
-6,3,0,2,8,0,9840.55888139888
-2,2,-2,2,4,0,9920.119920019999
-1,-7,7,3,8,3,9840.55888139888
2,-4,-2,1,4,2,9920.119920019999
-3,-5,5,4,8,0,9840.55888139888
1,3,3,3,4,3,9920.119920019999
-3,-4,3,1,6,0,9880.299600299879
1,-1,1,3,4,1,9920.119920019999
-2,-12,-6,2,12,0,8837.019945160615
6,12,2,2,8,3,9840.55888139888
-3,12,-3,2,8,1,9840.55888139888
-2,-8,2,3,8,1,9840.55888139888
9,0,-3,1,12,1,9720.644986934512
0,0,4,3,4,3,9920.119920019999
8,-17,-6,4,14,1,9702.361738655965
-4,-5,4,2,8,0,9840.55888139888
-4,3,-2,1,6,0,9880.299600299879
-4,10,-2,2,8,1,9840.55888139888
2,-1,4,3,8,1,9840.55888139888
-9,10,1,2,14,2,8608.044386982054
-5,-14,7,2,12,0,9761.313706807237
-1,-3,7,4,8,3,9840.55888139888
-1,-4,1,3,6,1,9880.299600299879
2,-1,0,4,4,1,9920.119920019999
1,-1,1,2,4,1,9920.119920019999
-6,7,-2,1,8,0,9840.55888139888
1,6,5,3,8,0,9840.55888139888
-1,2,-7,1,8,2,9840.55888139888
-5,-10,9,1,14,3,4895.201818172787
-1,-3,1,4,6,1,9880.299600299879
-2,4,-2,4,4,2,9920.119920019999
8,21,4,2,12,1,9761.31560988418
7,-21,-5,4,12,1,9761.31560988418
-1,3,-5,4,6,2,9880.299600299879
-4,19,-2,4,12,1,9761.31560988418
-4,3,6,2,12,0,9761.31560988418
0,14,-6,3,12,3,9761.31303706594
-3,-1,5,2,8,0,9840.55888139888
-3,-3,1,3,4,3,9920.119920019999
-8,-7,-2,2,12,0,9760.225817381295
-1,2,-1,4,4,1,9920.119920019999
0,-14,-2,2,14,0,9721.24741518117
-5,-5,1,4,6,3,9880.299600299879
-3,-13,-3,3,14,0,9721.528483022123
-6,2,0,1,8,0,9840.55888139888
2,7,-4,4,10,1,9800.897604194965
-6,-5,4,1,10,0,9800.897604194965
0,3,2,2,6,0,9880.299600299879
-2,1,-2,3,4,0,9920.119920019999
-4,-1,0,3,6,0,9880.299600299879
4,2,0,4,6,1,9880.299600299879
0,-8,4,3,8,1,9840.55888139888
7,24,7,1,14,3,9711.441267692157
-5,-10,1,4,8,3,9840.55888139888
2,-5,0,1,8,0,9840.55888139888
5,-1,5,1,12,2,9761.315552220245
-1,-1,5,1,6,3,9880.299600299879
7,-15,-5,1,12,1,9761.315609882817
4,2,4,1,8,1,9840.55888139888
-2,5,-2,2,6,1,9880.299600299879
-3,1,-1,2,4,0,9920.119920019999
-1,-10,5,3,8,1,9840.55888139888
-4,-13,8,3,12,3,9761.266341231738
-3,-9,-1,2,10,3,9800.89758889699
0,19,-6,2,14,2,9721.812736365726
