val1,val2,val3,val4,best_move,dist_to_id
10.0,-3.0,-63.0,19.0,1.0,8.0
1.0,3.0,-3.0,-8.0,2.0,8.0
1.0,0.0,0.0,1.0,3.0,8.0
1.0,-3.0,-3.0,10.0,0.0,8.0
1.0,0.0,-6.0,1.0,1.0,8.0
1.0,6.0,-6.0,-35.0,2.0,8.0
10.0,3.0,-57.0,-17.0,3.0,8.0
1.0,0.0,-6.0,1.0,0.0,8.0
-8.0,3.0,45.0,-17.0,1.0,8.0
-8.0,-21.0,69.0,181.0,2.0,8.0
1.0,3.0,-9.0,-26.0,3.0,8.0
-8.0,27.0,69.0,-233.0,0.0,8.0
-17.0,3.0,147.0,-26.0,1.0,8.0
1.0,3.0,-9.0,-26.0,2.0,8.0
1.0,0.0,-6.0,1.0,3.0,8.0
1.0,-3.0,-9.0,28.0,0.0,8.0
1.0,0.0,-12.0,1.0,1.0,8.0
10.0,33.0,-87.0,-287.0,2.0,8.0
19.0,3.0,-165.0,-26.0,3.0,8.0
10.0,-27.0,-87.0,235.0,0.0,8.0
1.0,3.0,-9.0,-26.0,1.0,8.0
1.0,9.0,-9.0,-80.0,2.0,8.0
19.0,6.0,-168.0,-53.0,3.0,8.0
1.0,3.0,-9.0,-26.0,0.0,8.0
-17.0,6.0,150.0,-53.0,1.0,8.0
-17.0,-48.0,198.0,559.0,2.0,8.0
-8.0,3.0,93.0,-35.0,3.0,8.0
-17.0,54.0,198.0,-629.0,0.0,8.0
-26.0,3.0,303.0,-35.0,1.0,8.0
-8.0,3.0,93.0,-35.0,2.0,8.0
73.0,27.0,-849.0,-314.0,3.0,8.0
-8.0,51.0,93.0,-593.0,0.0,8.0
-89.0,27.0,1035.0,-314.0,1.0,8.0
1.0,6.0,-12.0,-71.0,2.0,8.0
10.0,3.0,-117.0,-35.0,3.0,8.0
1.0,0.0,-12.0,1.0,0.0,8.0
-8.0,3.0,93.0,-35.0,1.0,8.0
-8.0,-45.0,93.0,523.0,2.0,8.0
-71.0,-21.0,825.0,244.0,3.0,8.0
-8.0,3.0,93.0,-35.0,0.0,8.0
55.0,-21.0,-639.0,244.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
1.0,0.0,-18.0,1.0,1.0,8.0
1.0,0.0,-12.0,1.0,2.0,8.0
-8.0,-3.0,99.0,37.0,3.0,8.0
1.0,-6.0,-12.0,73.0,0.0,8.0
10.0,-3.0,-123.0,37.0,1.0,8.0
1.0,3.0,-9.0,-26.0,2.0,8.0
1.0,0.0,-6.0,1.0,3.0,8.0
1.0,-3.0,-9.0,28.0,0.0,8.0
1.0,0.0,-12.0,1.0,1.0,8.0
1.0,6.0,-12.0,-71.0,2.0,8.0
10.0,3.0,-117.0,-35.0,3.0,8.0
1.0,0.0,-12.0,1.0,0.0,8.0
-8.0,3.0,93.0,-35.0,1.0,8.0
1.0,6.0,-12.0,-71.0,2.0,8.0
10.0,3.0,-117.0,-35.0,3.0,8.0
1.0,0.0,-12.0,1.0,0.0,8.0
-8.0,3.0,93.0,-35.0,1.0,8.0
10.0,3.0,-117.0,-35.0,2.0,8.0
-71.0,-27.0,831.0,316.0,3.0,8.0
10.0,-57.0,-117.0,667.0,0.0,8.0
91.0,-27.0,-1065.0,316.0,1.0,8.0
19.0,60.0,-222.0,-701.0,2.0,8.0
28.0,3.0,-327.0,-35.0,3.0,8.0
19.0,-54.0,-222.0,631.0,0.0,8.0
10.0,3.0,-117.0,-35.0,1.0,8.0
