val1,val2,val3,val4,best_move,dist_to_id
181.0,54.0,-1143.0,-341.0,3.0,7.0
19.0,-3.0,-120.0,19.0,0.0,7.0
-143.0,54.0,903.0,-341.0,1.0,7.0
109.0,294.0,-687.0,-1853.0,2.0,7.0
10.0,-33.0,-63.0,208.0,3.0,7.0
109.0,-360.0,-687.0,2269.0,0.0,7.0
208.0,-33.0,-1311.0,208.0,1.0,7.0
10.0,-33.0,-63.0,208.0,2.0,7.0
-179.0,-63.0,1128.0,397.0,3.0,7.0
10.0,-93.0,-63.0,586.0,0.0,7.0
199.0,-63.0,-1254.0,397.0,1.0,7.0
-89.0,-300.0,561.0,1891.0,2.0,7.0
-188.0,-33.0,1185.0,208.0,3.0,7.0
-89.0,234.0,561.0,-1475.0,0.0,7.0
10.0,-33.0,-63.0,208.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
-71.0,-186.0,447.0,1171.0,2.0,7.0
10.0,27.0,-63.0,-170.0,3.0,7.0
-71.0,240.0,447.0,-1511.0,0.0,7.0
-152.0,27.0,957.0,-170.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
