val1,val2,val3,last_matrix,first_move_by_Q_learning,Q_table_val
4,-11,-10,4,3,9095.286368213265
-9,-24,3,2,0,9761.31560988418
2,10,6,3,3,9840.55888139888
8,43,4,3,3,9682.3888363128
2,-8,-6,4,2,9840.55888139888
2,-1,2,4,1,9880.299600299879
-5,3,1,4,0,9840.55888139888
-4,17,-10,2,2,9719.768580777147
-3,9,-5,2,0,9840.55888139888
-4,0,6,3,0,9800.892233209792
-1,8,5,1,0,9800.897604194965
8,44,10,1,0,0.0
-2,53,8,4,0,0.0
-7,-20,-1,1,2,7479.300715461377
-1,4,1,3,0,9840.55888139888
-4,20,-10,4,2,9677.822187779453
-9,11,5,4,0,-9.9
2,4,0,4,3,9880.299600299879
-5,15,-7,1,0,9761.31560988418
0,5,-2,4,1,9840.55888139888
-9,35,-13,4,0,0.0
-1,-1,-5,2,0,9840.55888139888
-8,-36,6,2,3,8738.124370838868
8,16,0,4,3,9667.18731542384
-9,-12,5,3,3,9520.669473307778
4,-8,-6,2,1,9800.897604194965
6,-1,-2,3,1,9840.55888139888
4,13,-2,2,1,9721.81273998002
-1,24,-11,4,2,9520.778285001163
-3,8,-1,1,1,9840.55888139888
-4,-52,8,3,2,0.0
-5,52,-5,1,1,9506.204671314124
-3,-31,5,3,3,8803.622806037536
3,-26,-9,2,2,9747.912363789852
-7,-4,-1,2,0,9800.897604194928
7,-10,1,2,1,9761.314627683472
-10,-13,-2,3,1,0.0
1,-8,3,2,1,9800.809786574911
7,1,-3,1,1,9761.31560988418
-7,2,1,1,0,9800.897604194965
-3,-21,7,2,3,9800.897604194965
0,5,4,2,0,9840.55888139888
6,16,-2,3,3,9702.607971780348
-6,32,-6,2,2,1502.491481446842
-7,-7,5,4,3,9761.315609880377
-11,-73,7,3,0,5108.121679350692
-3,-21,9,3,3,9761.31560988418
3,8,7,3,1,9800.897604194965
-3,10,-5,3,0,9840.55888139888
6,-12,0,4,2,9800.892572081084
-5,19,-9,2,0,8416.468617192084
-6,7,-2,2,0,9840.55888139888
-1,17,15,2,0,0.0
1,-10,1,1,2,9760.676465283761
0,16,6,1,0,9562.723962366674
5,-8,-1,4,1,9840.55888139888
-5,-7,-1,2,0,9800.897604194965
0,-34,-8,2,0,0.0
-5,4,-9,4,0,9721.81273998002
1,0,1,3,1,9960.02
3,7,-1,3,0,9800.897604194965
2,-4,-14,1,0,6403.528602215581
-9,0,-3,2,3,9721.812710223927
-6,16,-2,4,2,9800.897604194492
-1,-4,-3,4,0,9840.55888139888
-15,37,1,4,0,0.0
5,12,3,2,1,9840.55888139888
8,-10,-4,4,2,9761.314612490685
-9,-2,-1,4,0,9761.305840837722
0,3,0,4,0,9840.55888139888
-1,-31,15,1,3,9331.60661455062
-2,-13,0,2,1,9721.812670795618
-2,-20,-2,3,0,8626.965321925221
1,0,-5,2,1,9880.299600299879
-2,12,-8,1,2,9800.897604194965
1,-21,5,4,2,9678.78183227182
-1,-2,3,3,3,9920.119920019999
