val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
-9,11,5,4,17,3.3166247903554
2,4,0,4,5,0.0
-5,15,-7,1,11,3.872983346207417
0,5,-2,4,7,0.0
-9,35,-13,4,27,5.916079783099616
-1,-1,-5,2,7,1.0
-8,-36,6,2,13,6.0
8,16,0,4,11,0.0
-9,-12,5,3,13,3.4641016151377544
4,-8,-6,2,9,2.8284271247461903
6,-1,-2,3,7,1.0
4,13,-2,2,13,2.0
-1,24,-11,4,15,1.0
-3,8,-1,1,7,1.0
-4,-52,8,3,23,4.0
-5,52,-5,1,21,5.0
-3,-31,5,3,15,3.0
3,-26,-9,2,11,3.0
-7,-4,-1,2,9,1.0
7,-10,1,2,11,1.0
-10,-13,-2,3,15,2.0
1,-8,3,2,9,1.0
7,1,-3,1,11,1.0
-7,2,1,1,9,1.0
-3,-21,7,2,9,3.0
0,5,4,2,7,0.0
6,16,-2,3,13,2.0
-6,32,-6,2,11,5.656854249492381
-7,-7,5,4,11,2.6457513110645907
-11,-73,7,3,17,7.0
-3,-21,9,3,11,3.0
3,8,7,3,9,2.8284271247461903
-3,10,-5,3,7,3.0
6,-12,0,4,9,0.0
-5,19,-9,2,15,4.358898943540674
-6,7,-2,2,7,2.0
-1,17,15,2,23,1.0
1,-10,1,1,13,1.0
0,16,6,1,11,0.0
5,-8,-1,4,7,1.0
-5,-7,-1,2,9,1.0
0,-34,-8,2,21,0.0
-5,4,-9,4,17,2.0
1,0,1,3,1,0.0
3,7,-1,3,9,1.0
2,-4,-14,1,15,2.0
-9,0,-3,2,11,0.0
-6,16,-2,4,9,2.0
-1,-4,-3,4,7,1.0
-15,37,1,4,25,1.0
5,12,3,2,7,3.0
8,-10,-4,4,11,3.1622776601683795
-9,-2,-1,4,11,1.0
0,3,0,4,7,0.0
-2,-13,0,2,13,0.0
-2,-20,-2,3,17,2.0
1,0,-5,2,5,0.0
-2,12,-8,1,9,2.0
1,-21,5,4,15,1.0
-1,-2,3,3,3,1.0
1,38,11,3,19,1.0
2,26,-10,4,35,2.0
14,16,4,1,21,4.0
0,-12,0,3,13,0.0
-5,33,-5,4,13,5.0
-5,31,-7,1,13,5.0
5,26,3,3,13,3.0
-10,23,-4,2,13,4.0
-5,6,-5,3,9,2.449489742783178
7,-8,-3,1,9,2.8284271247461903
-1,22,-5,1,13,1.0
4,-8,0,3,7,0.0
-6,5,4,4,11,2.23606797749979
-7,12,-3,2,9,3.0
12,-25,2,4,23,2.0
3,3,3,1,5,1.7320508075688772
4,9,6,3,9,3.0
0,-5,4,3,7,0.0
-8,-4,2,2,9,2.0
-1,35,-9,2,19,1.0
-5,0,1,2,5,0.0
2,-8,-4,2,5,2.0
2,4,-12,4,17,2.0
0,4,-4,4,5,0.0
-9,60,-11,2,19,7.745966692414834
-2,7,-8,3,9,2.0
11,10,3,1,17,3.0
11,30,5,3,19,5.0
0,23,10,3,15,0.0
-1,-4,3,4,5,1.0
0,-2,8,1,9,0.0
7,23,5,3,11,4.795831523312719
5,-5,1,1,7,1.0
-5,-5,-1,2,7,1.0
2,12,10,3,13,2.0
-8,-2,4,2,11,1.4142135623730951
0,0,-2,1,1,0.0
10,-61,-10,4,19,7.810249675906654
